day,hour,date,conversation
0,0,2024-05-12,91156
0,1,2024-05-12,96356
0,2,2024-05-12,92231
0,3,2024-05-12,81890
0,4,2024-05-12,75636
0,5,2024-05-12,77571
0,6,2024-05-12,80831
0,7,2024-05-12,91976
0,8,2024-05-12,92383
0,9,2024-05-12,87670
0,10,2024-05-12,90554
0,11,2024-05-12,101636
0,12,2024-05-12,106536
0,13,2024-05-12,132590
0,14,2024-05-12,122751
0,15,2024-05-12,126014
0,16,2024-05-12,119851
0,17,2024-05-12,123801
0,18,2024-05-12,124763
0,19,2024-05-12,114888
0,20,2024-05-12,113174
0,21,2024-05-12,110231
0,22,2024-05-12,102476
0,23,2024-05-12,123704
1,0,2024-05-13,157782
1,1,2024-05-13,180692
1,2,2024-05-13,180973
1,3,2024-05-13,148229
1,4,2024-05-13,147516
1,5,2024-05-13,160461
1,6,2024-05-13,186221
1,7,2024-05-13,191780
1,8,2024-05-13,206485
1,9,2024-05-13,188407
1,10,2024-05-13,190743
1,11,2024-05-13,200584
1,12,2024-05-13,213342
1,13,2024-05-13,243503
1,14,2024-05-13,266955
1,15,2024-05-13,250953
1,16,2024-05-13,217903
1,17,2024-05-13,205696
1,18,2024-05-13,203802
1,19,2024-05-13,201916
1,20,2024-05-13,193553
1,21,2024-05-13,154518
1,22,2024-05-13,149597
1,23,2024-05-13,156944
2,0,2024-05-14,174957
2,1,2024-05-14,182799
2,2,2024-05-14,190269
2,3,2024-05-14,154981
2,4,2024-05-14,152887
2,5,2024-05-14,164484
2,6,2024-05-14,190120
2,7,2024-05-14,210175
2,8,2024-05-14,209074
2,9,2024-05-14,204837
2,10,2024-05-14,192633
2,11,2024-05-14,207715
2,12,2024-05-14,233533
2,13,2024-05-14,245422
2,14,2024-05-14,269237
2,15,2024-05-14,252946
2,16,2024-05-14,232856
2,17,2024-05-14,217289
2,18,2024-05-14,229912
2,19,2024-05-14,211832
2,20,2024-05-14,194067
2,21,2024-05-14,170439
2,22,2024-05-14,147377
2,23,2024-05-14,138771
3,0,2024-05-15,161773
3,1,2024-05-15,174289
3,2,2024-05-15,168059
3,3,2024-05-15,137877
3,4,2024-05-15,148345
3,5,2024-05-15,156494
3,6,2024-05-15,180004
3,7,2024-05-15,193123
3,8,2024-05-15,196601
3,9,2024-05-15,199577
3,10,2024-05-15,184279
3,11,2024-05-15,193056
3,12,2024-05-15,219399
3,13,2024-05-15,241892
3,14,2024-05-15,247164
3,15,2024-05-15,234386
3,16,2024-05-15,213412
3,17,2024-05-15,198159
3,18,2024-05-15,208399
3,19,2024-05-15,197578
3,20,2024-05-15,170210
3,21,2024-05-15,130303
3,22,2024-05-15,123202
3,23,2024-05-15,138856
4,0,2024-05-16,161745
4,1,2024-05-16,177170
4,2,2024-05-16,180545
4,3,2024-05-16,150281
4,4,2024-05-16,147797
4,5,2024-05-16,159690
4,6,2024-05-16,197480
4,7,2024-05-16,208176
4,8,2024-05-16,224497
4,9,2024-05-16,214094
4,10,2024-05-16,171054
4,11,2024-05-16,181911
4,12,2024-05-16,203169
4,13,2024-05-16,240510
4,14,2024-05-16,249182
4,15,2024-05-16,220272
4,16,2024-05-16,203736
4,17,2024-05-16,198544
4,18,2024-05-16,201304
4,19,2024-05-16,186196
4,20,2024-05-16,162693
4,21,2024-05-16,143411
4,22,2024-05-16,126815
4,23,2024-05-16,138817
5,0,2024-05-17,169006
5,1,2024-05-17,179204
5,2,2024-05-17,174291
5,3,2024-05-17,141562
5,4,2024-05-17,144385
5,5,2024-05-17,163100
5,6,2024-05-17,182960
5,7,2024-05-17,199176
5,8,2024-05-17,193182
5,9,2024-05-17,193913
5,10,2024-05-17,170152
5,11,2024-05-17,169095
5,12,2024-05-17,189101
5,13,2024-05-17,209072
5,14,2024-05-17,207049
5,15,2024-05-17,199445
5,16,2024-05-17,184817
5,17,2024-05-17,179955
5,18,2024-05-17,160026
5,19,2024-05-17,148230
5,20,2024-05-17,142307
5,21,2024-05-17,114968
5,22,2024-05-17,98589
5,23,2024-05-17,95487
