day,hour,conversation,api,all
0,0,38,0,38
0,1,11,0,11
0,2,23,0,23
0,3,13,0,13
0,4,1,0,1
0,5,5,0,5
0,6,0,0,0
0,7,9,1,10
0,8,54,1,55
0,9,161,0,161
0,10,219,0,219
0,11,315,0,315
0,12,87,0,87
0,13,141,0,141
0,14,282,0,282
0,15,310,0,310
0,16,324,0,324
0,17,280,10,290
0,18,229,2,231
0,19,185,0,185
0,20,208,0,208
0,21,193,0,193
0,22,195,0,195
0,23,92,0,92
1,0,60,0,60
1,1,16,0,16
1,2,8,0,8
1,3,4,0,4
1,4,9,0,9
1,5,1,0,1
1,6,7,0,7
1,7,7,0,7
1,8,53,0,53
1,9,176,0,176
1,10,211,0,211
1,11,353,2,355
1,12,104,0,104
1,13,105,0,105
1,14,235,2,237
1,15,291,0,291
1,16,334,0,334
1,17,223,0,223
1,18,148,0,148
1,19,172,0,172
1,20,213,0,213
1,21,180,0,180
1,22,165,0,165
1,23,93,0,93
2,0,64,0,64
2,1,55,0,55
2,2,39,0,39
2,3,18,0,18
2,4,4,0,4
2,5,0,0,0
2,6,0,0,0
2,7,4,0,4
2,8,41,0,41
2,9,107,0,107
2,10,145,0,145
2,11,338,1,339
2,12,111,0,111
2,13,144,0,144
2,14,190,0,190
2,15,303,0,303
2,16,286,0,286
2,17,234,0,234
2,18,126,0,126
2,19,66,0,66
2,20,82,0,82
2,21,116,0,116
2,22,96,0,96
2,23,89,0,89
3,0,14,0,14
3,1,19,0,19
3,2,2,0,2
3,3,0,0,0
3,4,1,0,1
3,5,7,0,7
3,6,0,0,0
3,7,11,0,11
3,8,18,0,18
3,9,43,0,43
3,10,92,0,92
3,11,114,0,114
3,12,57,0,57
3,13,61,0,61
3,14,107,0,107
3,15,172,2,174
3,16,157,0,157
3,17,155,0,155
3,18,57,0,57
3,19,97,0,97
3,20,119,0,119
3,21,113,0,113
3,22,122,0,122
3,23,36,0,36
4,0,41,0,41
4,1,44,0,44
4,2,18,0,18
4,3,8,0,8
4,4,5,0,5
4,5,7,0,7
4,6,0,0,0
4,7,0,0,0
4,8,12,0,12
4,9,51,0,51
4,10,84,0,84
4,11,107,0,107
4,12,89,0,89
4,13,136,0,136
4,14,137,0,137
4,15,193,0,193
4,16,180,0,180
4,17,139,0,139
4,18,61,0,61
4,19,130,0,130
4,20,173,1,174
4,21,178,0,178
4,22,160,0,160
4,23,145,0,145
5,0,90,0,90
5,1,45,0,45
5,2,23,0,23
5,3,6,0,6
5,4,5,0,5
5,5,13,0,13
5,6,4,0,4
5,7,7,0,7
5,8,69,0,69
5,9,161,1,162
5,10,220,8,228
5,11,288,0,288
5,12,116,0,116
5,13,113,0,113
5,14,236,0,236
5,15,339,7,346
5,16,284,6,290
5,17,134,1,135
5,18,147,0,147
5,19,148,0,148
5,20,185,0,185
5,21,184,1,185
5,22,157,9,166
5,23,159,10,169
6,0,68,0,68
6,1,33,0,33
6,2,65,0,65
6,3,18,0,18
6,4,13,0,13
6,5,4,0,4
6,6,8,0,8
6,7,16,0,16
6,8,27,0,27
6,9,209,103,312
6,10,337,140,477
6,11,240,0,240
6,12,141,0,141
6,13,143,0,143
6,14,147,0,147
6,15,298,2,300
6,16,227,0,227
6,17,166,0,166
6,18,128,1,129
6,19,172,0,172
6,20,163,0,163
6,21,177,0,177
6,22,147,0,147
6,23,167,0,167
7,0,76,0,76
7,1,5,0,5
7,2,5,0,5
7,3,1,0,1
7,4,0,0,0
7,5,8,0,8
7,6,0,0,0
7,7,1,0,1
7,8,35,0,35
7,9,111,0,111
7,10,327,5,332
7,11,199,0,199
7,12,53,12,65
7,13,152,0,152
7,14,229,2,231
7,15,299,5,304
7,16,233,4,237
7,17,312,3,315
7,18,150,4,154
7,19,205,0,205
7,20,186,1,187
7,21,192,1,193
7,22,239,5,244
7,23,222,15,237
8,0,90,4,94
8,1,75,0,75
8,2,44,0,44
8,3,9,0,9
8,4,31,0,31
8,5,23,0,23
8,6,4,0,4
8,7,5,0,5
8,8,41,4,45
8,9,263,23,286
8,10,356,23,379
8,11,286,1,287
8,12,160,0,160
8,13,178,0,178
8,14,352,570,922
8,15,341,1,342
8,16,250,2,252
8,17,265,0,265
8,18,271,2,273
8,19,218,1,219
8,20,237,0,237
8,21,276,242,518
8,22,248,102,350
8,23,147,0,147
9,0,183,22,205
9,1,76,11,87
9,2,52,0,52
9,3,40,0,40
9,4,26,0,26
9,5,14,0,14
9,6,0,0,0
9,7,2,0,2
9,8,25,1,26
9,9,207,2,209
9,10,286,0,286
9,11,179,1328,1507
9,12,89,21369,21458
9,13,158,16481,16639
9,14,224,986,1210
9,15,302,2346,2648
9,16,277,1865,2142
9,17,159,3280,3439
9,18,116,14655,14771
9,19,108,33236,33344
9,20,149,20131,20280
9,21,163,10549,10712
9,22,194,10387,10581
9,23,113,9729,9842
10,0,33,11039,11072
10,1,35,11586,11621
10,2,15,11644,11659
10,3,1,13579,13580
10,4,1,14149,14150
10,5,0,13725,13725
10,6,1,4529,4530
10,7,4,0,4
10,8,17,0,17
10,9,40,5369,5409
10,10,84,1656,1740
10,11,77,0,77
10,12,42,0,42
10,13,77,7,84
10,14,90,0,90
10,15,160,2,162
10,16,103,711,814
10,17,105,188,293
10,18,81,1375,1456
10,19,43,269,312
10,20,88,0,88
10,21,158,0,158
10,22,162,0,162
10,23,77,0,77
11,0,60,0,60
11,1,48,0,48
11,2,19,0,19
11,3,2,0,2
11,4,1,0,1
11,5,0,0,0
11,6,0,0,0
11,7,10,0,10
11,8,2,0,2
11,9,26,0,26
11,10,62,0,62
11,11,110,0,110
11,12,50,0,50
11,13,101,200,301
11,14,150,800,950
11,15,104,403,507
11,16,133,0,133
11,17,124,0,124
11,18,68,1,69
11,19,76,0,76
11,20,124,0,124
11,21,132,0,132
11,22,120,0,120
11,23,151,12,163
12,0,112,9,121
12,1,44,0,44
12,2,31,0,31
12,3,12,0,12
12,4,9,0,9
12,5,1,0,1
12,6,0,0,0
12,7,5,0,5
12,8,12,0,12
12,9,153,4,157
12,10,198,0,198
12,11,238,0,238
12,12,108,0,108
12,13,150,233,383
12,14,253,1399,1652
12,15,270,1148,1418
12,16,316,236,552
12,17,228,49,277
12,18,91,49,140
12,19,132,49,181
12,20,208,48,256
12,21,147,52,199
12,22,163,61,224
12,23,175,876,1051
13,0,69,1234,1303
13,1,43,832,875
13,2,24,61,85
13,3,7,0,7
13,4,4,0,4
13,5,3,0,3
13,6,4,0,4
13,7,8,0,8
13,8,35,0,35
13,9,210,2,212
13,10,362,11,373
13,11,266,8,274
13,12,144,5,149
13,13,188,52,240
13,14,212,61,273
13,15,257,49,306
13,16,388,53,441
13,17,192,51,243
13,18,165,58,223
13,19,131,31,162
13,20,156,0,156
13,21,224,0,224
13,22,164,0,164
13,23,162,0,162
14,0,112,0,112
14,1,57,0,57
14,2,27,0,27
14,3,10,0,10
14,4,7,0,7
14,5,5,0,5
14,6,3,0,3
14,7,6,0,6
14,8,22,0,22
14,9,146,0,146
14,10,245,0,245
14,11,246,0,246
14,12,88,9,97
14,13,143,11540,11683
14,14,253,29068,29321
14,15,204,14840,15044
14,16,197,10327,10524
14,17,202,2106,2308
14,18,144,343,487
14,19,232,789,1021
14,20,181,2521,2702
14,21,234,2086,2320
14,22,177,107,284
14,23,106,135,241
15,0,65,24,89
15,1,16,85,101
15,2,26,92,118
15,3,11,0,11
15,4,2,0,2
15,5,5,0,5
15,6,3,0,3
15,7,8,0,8
15,8,37,0,37
15,9,278,102,380
15,10,358,309,667
15,11,288,66,354
15,12,100,1153,1253
15,13,177,200,377
15,14,300,1750,2050
15,15,415,399,814
15,16,372,3561,3933
15,17,253,470,723
15,18,101,159,260
15,19,135,259,394
15,20,181,159,340
15,21,174,378,552
15,22,163,374,537
15,23,122,177,299
16,0,68,885,953
16,1,45,898,943
16,2,61,138,199
16,3,6,12,18
16,4,0,0,0
16,5,5,0,5
16,6,23,0,23
16,7,3,96,99
16,8,29,135,164
16,9,88,1254,1342
16,10,247,1856,2103
16,11,206,1401,1607
16,12,132,1228,1360
16,13,154,1170,1324
16,14,218,1007,1225
16,15,229,585,814
16,16,310,4047,4357
16,17,151,4594,4745
16,18,122,200,322
16,19,152,41,193
16,20,146,23,169
16,21,184,33,217
16,22,131,5,136
16,23,156,349,505
