req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
0,401,12,cloud,205.91150819164744
1,282,507,cloud,655.9109969941481
2,11,417,cloud,574.0910018584798
4,1,32,cloud,224.09091421117705
3,220,229,cloud,403.1838779957641
5,127,81,cloud,268.63703886801545
6,1,9,cloud,203.1818263355899
7,10,153,cloud,334.0909997465387
8,72,9,cloud,203.18207780763214
10,17,109,cloud,294.09101939186075
11,20,68,cloud,256.8183064973596
9,325,448,cloud,602.2754649227159
12,9,147,cloud,328.6364335216681
13,165,267,cloud,437.72834198184955
16,139,70,cloud,258.6376284604112
14,37,177,cloud,355.9093491424492
15,8,437,cloud,592.2727825670408
17,22,456,cloud,609.5455919715832
18,80,601,cloud,741.364192399029
19,69,7,cloud,201.36407391716875
21,26,106,cloud,291.3637424697554
20,441,247,cloud,419.54738536353125
24,4,20,cloud,213.18183451105597
22,333,155,cloud,335.9102824889642
25,11,13,cloud,206.81827448228614
23,48,774,cloud,898.6367202359024
26,26,57,cloud,246.81832192398633
27,1844,4,cloud,198.65006083875596
28,354,12,cloud,205.91210740190036
29,6,44,cloud,235.00004487566002
31,299,12,cloud,205.91125105343417
33,17,22,cloud,215.0001507530178
32,101,235,cloud,408.63713816589734
35,6,1,cloud,195.90914250629794
34,117,214,cloud,389.54601698440456
30,48,459,cloud,612.273161105526
37,3,19,cloud,212.27274450098594
39,148,63,cloud,252.27365836979516
36,24,262,cloud,433.1819423046709
40,272,69,cloud,257.72895857489493
38,28,320,cloud,485.9092169638607
41,54,32,cloud,224.09138911118862
42,168,14,cloud,207.72854192717205
44,176,111,cloud,295.9107583093173
45,189,482,cloud,633.183522086023
47,55,298,cloud,465.909277302826
48,28,20,cloud,213.18206728502992
46,18,672,cloud,805.9091743824447
49,13,76,cloud,264.0909764523876
43,11,2185,cloud,2181.3637078419615
50,5,249,cloud,421.3636822585413
51,11,466,cloud,618.6364384010558
52,246,23,cloud,215.91085900542748
53,10,390,cloud,549.5455429934646
55,11,127,cloud,310.4546471837657
54,32,633,cloud,770.4548103002617
57,146,55,cloud,245.00093178729912
59,9,34,cloud,225.90915474145913
56,22,345,cloud,508.63649139648805
60,20,74,cloud,262.27288761383716
58,8,285,cloud,454.0909835500843
61,262,94,cloud,280.45592100045906
63,20,46,cloud,236.81837215823725
62,5,118,cloud,302.2727487025677
64,80,35,cloud,226.81890393167123
65,6,50,cloud,240.45456871560236
66,6,46,cloud,236.81823218932914
67,22,37,cloud,228.63656591256586
68,160,220,cloud,395.00103361100264
69,1,42,cloud,233.18182584156966
70,25,112,cloud,296.81828354731624
72,30,126,cloud,309.5456464942072
73,25,107,cloud,292.2728873298365
75,6,57,cloud,246.81821423025394
76,15,121,cloud,305.000085952237
74,16,217,cloud,392.27287351368795
77,14,294,cloud,462.27278276485595
71,82,516,cloud,664.091237026496
78,140,266,cloud,436.8187389583036
79,10,157,cloud,337.7273216668618
80,961,462,cloud,615.0047521531451
83,293,16,cloud,209.5476985259811
81,64,583,cloud,725.0003854340503
82,17,329,cloud,494.09098837176134
85,16,36,cloud,227.7273699598627
84,113,161,cloud,341.36469890626176
86,4,2,cloud,196.8181989178047
88,14,16,cloud,209.54552429149408
87,108,90,cloud,276.8185545619963
90,144,108,cloud,293.1827795890131
91,82,85,cloud,272.2733393564049
89,64,376,cloud,536.8184856796834
92,871,164,cloud,344.097775035807
94,6,52,cloud,242.27277195592615
93,22,725,cloud,854.0910027695863
95,4,210,cloud,385.90911319868974
96,155,64,cloud,253.18247062134105
97,14,154,cloud,335.00012334729763
99,29,171,cloud,350.45471665337755
101,32,44,cloud,235.00015534360864
98,78,363,cloud,525.0003067422258
102,2,9,cloud,203.18183414340456
100,332,485,cloud,635.9110637394988
103,52,28,cloud,220.45487015595063
104,6,68,cloud,256.8182237434412
105,82,461,cloud,614.0911732086606
106,3,45,cloud,235.90910672485916
107,79,528,cloud,675.000408874701
109,324,25,cloud,217.72939183759445
108,368,287,cloud,455.91078097544596
110,63,12,cloud,205.90944183751344
111,23,63,cloud,252.27289110929996
112,23,310,cloud,476.81835905100525
113,21,287,cloud,455.9092039513125
116,39,306,cloud,473.1820582305263
117,241,198,cloud,375.0020298759082
114,13,610,cloud,749.5455433273928
115,28,648,cloud,784.0910327199344
118,9,26,cloud,218.6364373921133
119,2,19,cloud,212.2727447414727
120,4,154,cloud,335.0000151480672
122,4,1,cloud,195.90912419211236
121,163,391,cloud,550.455385795347
124,27,60,cloud,249.54558229756003
123,218,330,cloud,495.002024691461
125,16,158,cloud,338.63643547978063
126,60,26,cloud,218.63672421167576
128,4,31,cloud,223.1818417739196
127,12,152,cloud,333.1818867049842
129,254,191,cloud,368.63791303833204
132,11,87,cloud,274.09095308606265
131,127,144,cloud,325.91011457529385
133,6,344,cloud,507.72730604691606
130,31,440,cloud,595.0001640240662
136,670,47,cloud,237.7297687930477
135,70,159,cloud,339.5457491991401
137,10,121,cloud,305.0000652104645
134,50,366,cloud,527.7274962344673
138,7,285,cloud,454.09095232612526
140,1,35,cloud,226.81818882331572
139,16,232,cloud,405.909202428189
141,179,126,cloud,309.546081189972
142,14,130,cloud,313.1819021880983
143,62,379,cloud,539.545901624726
144,87,276,cloud,445.90954124396376
145,419,186,cloud,364.0927445555353
147,12,25,cloud,217.72736039146548
148,28,24,cloud,216.81831072244677
150,136,121,cloud,305.0007890807392
146,332,750,cloud,876.821216430435
154,29,28,cloud,220.45467458620988
153,303,114,cloud,298.6386116489448
149,35,769,cloud,894.0912130177167
156,6,17,cloud,210.45459346988355
151,26,449,cloud,603.1820342257561
157,13,132,cloud,315.0000513519626
155,79,573,cloud,715.9095516744346
152,47,773,cloud,897.7276637952018
159,349,189,cloud,366.819789040208
158,521,509,cloud,657.7290889972428
160,23,398,cloud,556.8183627167455
161,1,9,cloud,203.18182624227484
162,9,18,cloud,211.36371416672046
164,1,9,cloud,203.1818226805044
165,9,89,cloud,275.90914837967284
163,10,494,cloud,644.0909419258969
168,7,213,cloud,388.63641392102
