req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
0,18,30,edge,1051.0
1,24,679,edge,17790.288465467933
2,19,315,edge,25839.446182834305
3,55,288,edge,33279.54653914906
4,4,25,edge,33822.34955449567
5,16,276,edge,40498.64520504768
6,1,7,edge,40391.568969259846
7,15,52,edge,41668.840051137864
8,161,889,edge,64165.015438612216
9,18,95,edge,66836.4974496008
10,10,1,edge,66860.33111228535
11,554,455,edge,78393.72315682448
12,99,145,edge,82280.65461547609
13,23,113,edge,85270.99012713709
14,98,348,edge,93718.82918721306
15,16,79,edge,95799.53832830444
16,8,96,edge,98175.26023270508
17,17,86,edge,100445.72146386134
18,922,174,edge,104837.43046336125
19,327,93,edge,107298.40337864797
20,31,318,edge,115363.51660756336
21,22,58,edge,117069.67221700547
22,11,287,edge,124171.43778952611
23,5,102,edge,126324.78907677463
24,688,109,edge,128877.78484036631
25,2,23,edge,129566.68047256004
26,16,506,edge,142019.29471516132
27,35,378,edge,150765.1866068518
28,15,89,edge,153084.7329623621
29,13,34,edge,153117.9660517712
30,761,467,edge,164899.87709217673
31,183,563,edge,179152.59358584418
32,13,90,edge,181678.39979180123
33,360,1,edge,181848.70197763795
34,876,17,edge,181486.03022214526
35,7,659,edge,198179.70900413292
36,531,460,edge,209669.92396746977
37,22,51,edge,211190.6773164711
38,363,295,edge,218750.71730829222
39,364,7,edge,218625.18238492246
40,218,34,edge,219536.83857398442
41,17,630,edge,235403.0542206408
42,6,318,edge,243330.94696259726
43,17,416,edge,253799.7445526087
44,9,40,edge,255006.10962013304
45,28,39,edge,256024.46039465195
46,66,1,edge,256233.1342608277
47,77,8,edge,256581.93955079306
48,250,488,edge,268965.00496892043
49,57,54,edge,270543.2927986175
50,82,285,edge,277557.4081928559
51,31,345,edge,286311.9273454683
52,9,326,edge,294501.9744060333
53,2,19,edge,294675.83259887074
54,10,67,edge,296535.9955564471
55,9,46,edge,297747.00047056674
56,286,73,edge,299773.99569729296
57,51,626,edge,315551.95554402657
58,7,74,edge,317086.0442193388
59,6,42,edge,318293.76693064306
60,342,108,edge,320945.83020747243
61,10,1,edge,321269.95444572
62,22,340,edge,329848.562695933
63,80,437,edge,340643.634984851
64,350,62,edge,341845.0557974937
65,20,612,edge,357092.0162091865
66,19,22,edge,357851.824120785
67,525,7,edge,358322.19735778694
68,1,7,edge,358486.61123793613
69,34,413,edge,368864.94530972006
70,19,47,edge,369971.55282614974
71,32,384,edge,379718.8165427453
72,13,276,edge,385815.0653723463
73,4,31,edge,386288.50205874344
74,40,278,edge,393459.1630263647
75,307,137,edge,397050.38766529766
76,2,17,edge,397689.4144336033
77,124,629,edge,413420.3614682994
78,1,34,edge,414335.7543772082
79,369,383,edge,424199.6988648325
80,2,8,edge,424695.4778088723
81,26,27,edge,425461.5784770916
82,234,512,edge,438047.61816913116
83,32,15,edge,438267.8392847803
84,82,581,edge,453064.95851271105
85,14,974,edge,477290.9494512088
86,154,46,edge,477185.53069777315
87,66,1,edge,477391.76970955584
88,1,7,edge,477840.5749328228
89,88,440,edge,488238.5041507646
90,91,96,edge,490682.80090218957
91,11,13,edge,491092.11881295976
92,9,82,edge,493436.9321117654
93,29,27,edge,494384.3614454937
94,5,17,edge,494601.55212874804
95,25,408,edge,505081.5331911703
96,18,124,edge,508178.43096360454
97,69,8,edge,508611.76467420574
98,38,470,edge,520527.7656522105
99,16,61,edge,522135.40152289363
100,8,336,edge,529845.1722886717
101,4,68,edge,531726.1254829554
102,14,388,edge,541567.0095096622
103,7,123,edge,544928.2088800388
104,11,442,edge,556241.5801067586
105,67,1,edge,555778.0097609799
106,77,234,edge,561829.4877657287
107,38,307,edge,569778.9312561288
108,187,151,edge,573841.9710890584
109,331,321,edge,582162.7378457233
110,7,56,edge,583755.2434772309
111,38,88,edge,586245.8028640465
112,517,302,edge,593320.0220912353
113,80,888,edge,615590.009417822
114,8,12,edge,615984.793921191
115,15,120,edge,618945.5129636927
116,26,14,edge,619411.5781368577
117,75,452,edge,631008.4915894849
118,8,143,edge,634674.8047977488
119,7,424,edge,645448.2660940087
120,27,403,edge,655072.6981015132
121,441,412,edge,665625.2954350805
122,50,107,edge,668575.5072070904
123,1,9,edge,669017.3560462672
124,17,277,edge,675973.6254518207
125,412,10,edge,676491.7784773519
126,601,43,edge,677780.4034756497
127,8,46,edge,679066.8653838375
128,108,294,edge,686268.3847916042
129,57,88,edge,688752.4196993597
130,12,8,edge,689137.3264300099
131,98,5,edge,689348.4953654879
132,41,123,edge,692373.2155438149
133,11,520,edge,704951.3182556463
134,7,40,edge,705999.6755989022
135,24,159,edge,709504.2335245297
136,2,24,edge,710175.088285927
137,111,304,edge,717920.8899410607
138,10,14,edge,718563.9238314459
139,10,101,edge,721295.6258084872
140,12,211,edge,726772.9375350584
141,34,60,edge,728277.7392099899
142,12,10,edge,728613.3054174959
143,7,35,edge,729655.0537466948
144,33,391,edge,739715.9697411546
145,66,1,edge,739468.0192089828
146,25,252,edge,745658.3681930214
147,8,165,edge,750005.1524234274
148,91,378,edge,759712.074307951
149,47,942,edge,783180.0821988166
150,7,5,edge,783017.324604024
151,1,38,edge,784071.9830228633
152,7,201,edge,789046.7768656119
153,25,577,edge,803669.9657774912
154,11,464,edge,815436.3570212738
155,21,23,edge,816267.9995611475
156,68,24,edge,817119.414084025
157,5,97,edge,819514.6906490879
158,3,46,edge,820661.3598418589
159,3,16,edge,821296.3460909122
160,30,428,edge,831470.5627125687
161,69,29,edge,832482.4696169229
162,52,524,edge,845601.2789402589
163,17,264,edge,852360.31100851
164,7,91,edge,854818.5892665583
165,43,530,edge,868189.0917913999
166,5,1,edge,868243.942424698
167,368,243,edge,874558.212739314
168,22,150,edge,878121.6736377884
169,5,73,edge,880177.7216814428
170,1,9,edge,880326.8672572258
171,30,32,edge,881062.4391415868
172,10,316,edge,888854.8578860236
173,93,473,edge,900865.261410593
174,81,413,edge,911472.0855056798
175,28,38,edge,912277.1893669507
176,28,104,edge,914926.1344684169
177,6,226,edge,920699.1451673826
178,167,228,edge,926587.3447203793
179,85,7,edge,926375.3482139456
180,41,785,edge,946183.564575847
181,24,86,edge,947831.9487109316
182,4,54,edge,949465.97712268
183,630,493,edge,961923.7391378747
184,185,102,edge,964675.1876847573
185,9,69,edge,966434.1165176944
186,23,108,edge,969403.2586771274
187,54,61,edge,970778.5061327006
188,135,67,edge,972382.2944053501
189,9,16,edge,972449.4709713754
190,66,1,edge,972718.2533114477
191,7,135,edge,976314.6863815018
192,12,193,edge,981188.2758549775
193,4,31,edge,982237.7315091705
194,51,317,edge,990246.3415690806
195,124,463,edge,1002104.3101552883
196,9,8,edge,1002446.5749021415
197,45,35,edge,1003296.6630442353
198,5,57,edge,1004528.1274120383
199,32,250,edge,1010678.749061427
200,1,7,edge,1011118.1217164345
201,34,5,edge,1011428.8502814234
202,29,332,edge,1020008.5433533691
203,1,2,edge,1020309.1645497587
204,10,9,edge,1020541.8054423527
205,15,30,edge,1021351.0441102796
206,82,991,edge,1046253.3494284739
207,570,468,edge,1058212.3851120078
208,1,24,edge,1059007.3160351168
209,61,26,edge,1059643.136299788
210,37,430,edge,1070457.252191423
211,28,211,edge,1076025.5483705765
212,7,33,edge,1076978.1285379967
213,49,23,edge,1077480.6873786994
214,9,71,edge,1079524.963834701
215,267,281,edge,1086739.1624196824
216,4,26,edge,1087642.8661614745
217,4,35,edge,1088289.0679957948
218,6,40,edge,1089411.7825821184
219,6,28,edge,1088889.6342024626
220,22,519,edge,1101803.5728076322
221,4,20,edge,1102487.9497154527
222,79,4,edge,1102703.2511459922
223,20,427,edge,1113552.124570425
224,26,204,edge,1118704.910190291
225,41,423,edge,1129266.5961277555
226,299,64,edge,1130945.4141956866
227,328,112,edge,1133246.3136725095
228,3,9,edge,1133033.4443369985
229,20,321,edge,1141146.060909828
230,113,605,edge,1156495.1358632955
231,87,2,edge,1155921.0040406783
232,40,437,edge,1166852.210239525
233,17,40,edge,1167772.556524365
234,12,336,edge,1174873.386377663
235,23,701,edge,1192535.0032154624
236,10,268,edge,1199254.619408026
237,26,289,edge,1206112.6933720924
238,12,94,edge,1208295.1387119193
239,30,513,edge,1221357.8093502906
240,17,132,edge,1224903.359007459
241,9,346,edge,1233808.4792151365
242,76,2,edge,1233798.2497231124
243,21,597,edge,1248105.9914247962
244,87,523,edge,1261103.5321745388
245,8,292,edge,1267692.132864904
246,28,60,edge,1269248.468087227
247,9,69,edge,1271061.257658103
248,12,28,edge,1271946.5765582852
249,9,80,edge,1273461.220767318
250,79,384,edge,1283232.7569860541
251,1,9,edge,1283547.0785963887
252,29,282,edge,1290715.6235824951
253,150,141,edge,1294195.9478261175
254,66,1,edge,1294489.2747667225
255,4,377,edge,1303906.6945849617
256,12,16,edge,1304426.292937998
257,392,19,edge,1304196.8813944124
258,350,151,edge,1307482.7373177586
259,13,266,edge,1314407.4016488718
260,15,371,edge,1323912.2244696007
261,77,466,edge,1334907.6301279655
262,358,3,edge,1335257.8066023968
263,5,12,edge,1335786.5370090113
264,406,288,edge,1343261.8749444343
265,420,200,edge,1348480.5218420953
266,14,276,edge,1355614.8864845557
267,80,400,edge,1365883.4673968218
268,25,50,edge,1367395.9459818688
269,1,59,edge,1369023.90509449
270,15,274,edge,1375704.943932405
271,38,456,edge,1387379.4058346285
272,7,25,edge,1388119.4206766642
273,18,9,edge,1388462.4851183945
274,12,77,edge,1390632.9261047086
275,82,475,edge,1402806.778678903
276,47,1362,edge,1437122.117331683
277,316,118,edge,1440295.50090966
278,20,16,edge,1440619.5844864987
279,258,7,edge,1441019.1624467464
280,13,276,edge,1448058.5090924744
281,66,1,edge,1448123.850375257
282,90,66,edge,1449827.6741058105
283,28,427,edge,1460326.5671030986
284,760,480,edge,1472561.0051044105
285,532,460,edge,1484163.2711600577
286,40,344,edge,1492543.623323451
287,66,1614,edge,1532704.8277522512
288,538,212,edge,1537960.0580033676
289,26,449,edge,1549447.017567444
290,317,79,edge,1551671.205001019
291,133,12,edge,1552129.852748446
292,194,219,edge,1557723.737675941
293,7,242,edge,1563746.809112985
294,2,2,edge,1563846.555460139
295,38,611,edge,1579088.568830435
296,27,169,edge,1583513.4817052272
297,48,316,edge,1591355.5086001751
298,6,387,edge,1601113.9773672654
299,320,12,edge,1601556.622822221
300,7,200,edge,1606673.9310618031
301,22,43,edge,1607883.5037370354
302,13,266,edge,1614782.6361149168
303,2,19,edge,1615434.0967168037
304,533,456,edge,1627017.0196198332
305,28,688,edge,1644480.779420572
306,80,349,edge,1653084.2757305065
307,435,637,edge,1669257.3567395126
308,10,260,edge,1675881.5898880921
309,3,1,edge,1675722.8163439527
310,173,262,edge,1682365.767081893
311,5,1,edge,1681892.18473289
312,1,9,edge,1682120.0584003923
313,11,131,edge,1685547.4452896328
314,350,439,edge,1696672.7655527168
315,7,21,edge,1697347.7965811365
316,304,3,edge,1697575.9156678822
317,87,331,edge,1706082.5145968504
318,11,25,edge,1706990.6714612353
319,7,97,edge,1709638.1559758359
320,401,44,edge,1710996.699899656
321,29,402,edge,1721175.8905395358
322,9,119,edge,1723850.8228828527
323,76,294,edge,1731300.2347125274
324,314,512,edge,1744330.149400373
