req_id,prompt_tokens,generation_tokens,offload_target,total_latency_ms
0,61,305,user,52647.78156996587
1,189,11,user,55018.879363384134
2,45,5,user,56418.50776181436
3,9,133,user,78757.53526193913
4,77,460,user,156987.44555379706
5,81,89,user,172402.48134182676
6,3,141,user,196353.239462267
7,287,483,user,279189.5570651436
8,6,113,user,298805.2797495085
9,2,18,user,302174.19177641347
10,33,72,user,314515.23346554895
11,52,106,user,333051.19910250173
12,6,80,user,346074.53497506975
13,10,388,user,412015.7318238169
14,173,11,user,414479.9444583662
15,22,265,user,460109.5223327914
16,8,567,user,557417.5754832918
17,6,1,user,557626.3887305509
18,2,9,user,559513.2076558352
19,76,521,user,648790.0210481818
20,20,252,user,691945.8084899873
21,171,1,user,692503.2950942322
22,25,2,user,692806.85993372
23,32,51,user,701950.5308142479
24,9,24,user,706545.2505953587
25,11,80,user,720680.848229622
26,41,201,user,754781.3155544155
27,75,240,user,795985.0900214241
28,14,230,user,835786.5035594177
29,8,178,user,866391.8791033207
30,36,27,user,871237.8706219421
31,8,172,user,900820.5063151275
32,50,31,user,906642.7552077586
33,8,151,user,932855.9085840707
34,3,48,user,941617.803448407
35,79,2,user,942421.4154038251
36,9,8,user,944032.6880476738
37,24,35,user,950424.8588940214
38,6,128,user,972513.4301062681
39,86,471,user,1052858.0696858852
40,29,43,user,1060513.3970366034
41,48,16,user,1063837.094211768
42,12,82,user,1078068.9150232174
43,23,92,user,1093809.2813060712
44,129,5,user,1094857.351137647
45,21,44,user,1102648.6051195762
46,9,494,user,1187166.4150167336
47,10,244,user,1229316.91992918
48,6,271,user,1275796.9141271312
49,7,27,user,1280338.1634769375
50,64,61,user,1290945.448008792
51,15,440,user,1366528.2121213775
52,14,208,user,1402111.1814692488
53,29,129,user,1424717.116946809
54,1,9,user,1425748.3445198776
55,1,9,user,1426551.1057757458
56,23,12,user,1428876.5272392873
57,13,62,user,1439916.0645033494
58,54,337,user,1497744.6191547813
59,85,7,user,1499484.5100108657
60,22,503,user,1585602.613859536
61,4,16,user,1588431.7970490188
62,1,9,user,1590328.1046624407
63,14,44,user,1598436.3653798408
64,12,461,user,1677700.602999993
65,1061,248,user,1720518.591812428
66,21,57,user,1730505.1105228793
67,44,732,user,1855983.1083192572
68,335,64,user,1867315.2247330628
69,11,334,user,1924626.2456618217
70,113,7,user,1926331.5012006122
71,7,377,user,1991224.3391421195
72,7,49,user,2000057.6484383354
73,19,427,user,2073112.7995522644
74,105,65,user,2084682.7239825148
75,27,634,user,2193298.8968086937
76,33,242,user,2235135.090737821
77,5,1,user,2235877.055251399
78,24,64,user,2247053.489993796
79,51,243,user,2288827.3424482616
80,14,59,user,2299359.898330061
81,28,257,user,2343743.4977297937
82,257,87,user,2358992.4759668265
83,4,203,user,2393862.753741498
84,350,1038,user,2571366.544828484
85,62,285,user,2620305.5779345366
86,7,49,user,2628507.590031364
87,8,241,user,2670181.6825556993
88,3,525,user,2760283.8529578177
89,314,209,user,2796203.7547782334
90,47,361,user,2857853.888944396
91,108,2,user,2858697.8572183354
92,40,24,user,2863269.55149941
93,8,192,user,2896131.166834813
94,131,32,user,2902004.7101373537
95,245,161,user,2929778.6726937294
96,43,34,user,2936159.012786151
97,19,48,user,2944926.2093950203
98,12,16,user,2947841.7129703863
99,24,240,user,2989254.063072478
100,19,55,user,2999012.7667899653
101,24,81,user,3012419.3059002794
102,6,3,user,3013095.817487413
103,18,285,user,3062320.3493222487
104,9,387,user,3128903.3211742844
105,32,591,user,3230334.8612307925
106,1010,119,user,3251115.870839158
107,70,176,user,3281609.5154064316
108,81,240,user,3322628.276624707
109,10,128,user,3344971.5085890177
110,140,467,user,3425009.830976249
111,1,9,user,3426799.4294145997
112,12,213,user,3463727.3703040313
113,6,64,user,3475223.8557442445
114,34,572,user,3573298.912684629
115,15,105,user,3591712.3213718184
116,18,30,user,3597357.989549993
117,83,497,user,3682735.6155896764
118,5,75,user,3695270.3084556386
119,39,105,user,3713522.956412322
120,13,329,user,3770094.161770514
121,518,427,user,3843474.3139312
122,12,204,user,3878886.139005264
123,10,368,user,3942236.7336696945
124,83,245,user,3984368.340610843
125,14,233,user,4024465.2820255356
126,818,20,user,4027877.4320145864
127,8,121,user,4048721.1285905354
128,34,96,user,4065531.899850789
129,5,44,user,4073553.340608857
130,10,3,user,4074582.8921726835
131,76,350,user,4134723.621986481
132,808,170,user,4163774.5009537963
133,1505,156,user,4190509.968994726
134,18,15,user,4193321.0167961554
135,7,18,user,4196681.676333272
136,559,57,user,4206954.54617124
137,31,64,user,4218369.641897455
138,346,604,user,4321853.799059034
139,26,13,user,4324474.112473411
140,26,117,user,4344870.782996712
141,8,211,user,4381405.26705144
142,19,392,user,4448790.66208474
143,116,126,user,4470873.587903403
144,15,169,user,4500301.0150110535
145,30,113,user,4520040.94990357
146,7,118,user,4540312.817831016
147,66,1,user,4540984.69740144
148,48,202,user,4575981.636153363
149,8,154,user,4602861.4234614195
150,1,2,user,4603073.022812589
151,3,9,user,4604970.194224603
152,6,61,user,4615736.2382795615
153,8,343,user,4674012.036847381
154,44,200,user,4708442.045963738
155,498,25,user,4713279.857238407
156,178,135,user,4736866.2155207805
157,20,532,user,4827241.899231859
158,630,407,user,4897271.207835034
159,34,94,user,4913334.2235482335
160,49,254,user,4957192.03838565
161,18,285,user,5006393.663940896
162,7,59,user,5016948.945027683
163,516,75,user,5030235.048733781
164,14,284,user,5079262.743888127
165,17,254,user,5122378.763815056
166,89,98,user,5139684.1838909695
167,27,37,user,5146147.573879124
168,269,309,user,5199342.4675729945
169,30,10,user,5201181.265503362
170,28,55,user,5211135.792616516
171,12,31,user,5216951.107056091
172,151,145,user,5242026.392937437
173,9,387,user,5308647.332574708
174,63,512,user,5396482.092754256
175,610,559,user,5492346.992541103
176,6,61,user,5503329.112831852
177,47,185,user,5535408.124539082
178,36,22,user,5539561.541766251
179,27,157,user,5565559.044361847
180,632,144,user,5590298.989187004
181,33,185,user,5622380.032813989
182,158,722,user,5744836.740315647
183,10,29,user,5749801.663359292
184,133,10,user,5752060.094169661
185,58,157,user,5778910.319560583
186,471,653,user,5890400.061058371
187,558,2,user,5891010.573893712
188,11,407,user,5960530.016232902
189,75,7,user,5962108.621944342
190,16,380,user,6027414.131934553
191,276,51,user,6036551.124152152
192,7,524,user,6126347.497597828
193,421,149,user,6151945.437355372
194,315,111,user,6171473.765334424
195,9,175,user,6201719.941906945
196,37,445,user,6277827.860327627
197,8,179,user,6308955.199661963
198,505,492,user,6393448.675405716
199,50,181,user,6424655.400061003
200,13,20,user,6428610.257098671
201,4,5,user,6429260.674842518
202,13,287,user,6478310.93254982
203,338,82,user,6492831.08459791
204,8,71,user,6505420.826783183
205,18,515,user,6593286.844560966
206,16,252,user,6636717.930431728
207,9,277,user,6684433.272331299
208,19,380,user,6749170.138767415
209,44,85,user,6764272.16807307
210,62,354,user,6825060.126592614
211,728,593,user,6926711.337752124
212,2,19,user,6930378.9167558085
213,10,450,user,7007335.154051602
214,131,29,user,7012550.169210463
215,342,245,user,7054665.210972813
216,49,64,user,7066129.96906331
217,74,94,user,7082636.457708539
218,66,1,user,7082946.607586582
219,116,16,user,7086262.327121124
220,141,428,user,7159743.477799088
221,4,5,user,7161107.374379769
222,20,84,user,7175621.878439834
223,4,61,user,7186487.124811104
224,8,45,user,7194506.913884784
225,72,269,user,7240959.0847098185
226,663,788,user,7376016.997737371
227,9,36,user,7382729.004908802
228,22,703,user,7502748.265098759
229,47,63,user,7514072.555255196
230,331,13,user,7516433.884448091
231,26,23,user,7520841.617506907
232,162,380,user,7586163.657345626
233,8,22,user,7590370.426683885
234,1,38,user,7597309.947020655
235,8,133,user,7620591.636793908
236,39,94,user,7637189.346679772
237,8,621,user,7743564.504979131
238,21,573,user,7841805.791975489
239,6,149,user,7867405.505751484
240,29,8,user,7869368.23399325
241,22,75,user,7882685.898102296
242,4,47,user,7891050.9689027155
243,88,35,user,7897266.73708029
244,119,48,user,7905946.730735591
245,33,21,user,7909843.381545504
246,278,307,user,7962817.722400604
247,79,475,user,8044335.125207499
248,25,25,user,8048652.036738222
249,7,138,user,8072649.567431205
250,13,178,user,8103490.10832892
251,11,73,user,8116450.952556152
252,18,160,user,8144078.204443501
253,7,281,user,8192496.100571208
254,8,37,user,8198017.07143034
255,33,191,user,8231184.202303233
256,86,281,user,8279615.094394618
257,29,9,user,8281702.125661843
258,22,341,user,8340405.176091622
259,39,52,user,8349807.60344581
260,317,51,user,8358742.388801201
261,296,98,user,8375872.979397085
262,212,121,user,8397014.20570366
263,17,56,user,8407075.040239902
264,17,80,user,8421110.189744836
265,75,104,user,8439104.019658754
266,14,270,user,8485715.52786048
267,4,7,user,8487018.358154116
268,1,9,user,8488688.089937493
269,11,87,user,8504125.099295102
270,118,313,user,8558022.264699267
271,269,39,user,8565205.272428678
272,302,19,user,8568939.429444335
273,388,418,user,8640542.311423335
274,44,22,user,8644869.598463237
275,350,1038,user,8822593.227950247
276,593,674,user,8938161.48515339
277,174,14,user,8940718.376967948
278,21,652,user,9051972.439228317
279,8,508,user,9139137.456446404
280,10,119,user,9159656.757928139
281,1,9,user,9161454.171342636
282,54,61,user,9172059.485478098
283,50,59,user,9182652.92707237
284,456,154,user,9209099.403137526
285,55,233,user,9249028.489027921
286,16,411,user,9319668.314977068
287,392,108,user,9338459.012670983
288,20,393,user,9406016.08716982
289,506,193,user,9439482.110834973
290,14,290,user,9489351.886029275
291,258,27,user,9494535.382844042
292,11,16,user,9497854.385696437
293,24,1,user,9498374.902613834
294,35,223,user,9536860.413760265
295,4,93,user,9551502.153349191
296,13,39,user,9558680.678632205
297,8,94,user,9575276.267609796
298,19,343,user,9634346.365615731
299,51,135,user,9657947.987892296
